,tweet,Python_cosine,python_euclidean,matlab
221,prime minister watching getting job done honduras,0,0,4
222,buses sydney olympic park delayed 20 minutes due heavy traffic leicester avenue road underwood road,3,4,1
223,way road,0,0,2
224,love flags fantastic road lebanese australian tongan flags front windows,0,0,2
225,bringing sydney road back life http,2,2,3
226,bringing sydney road back life http sydney news,2,2,3
227,20 years road still shit always middle fucking day,0,0,2
228,breakdown westbound road,0,0,2
229,state walks away joint study trams road usa transportation http,1,1,3
230,congratulations team taking home two nsw awards road corridor urban transformation project working http,1,1,3
231,trams road state transport agency walked away agreement inner west council help fund feasibility study running electric trams along sydney road,2,2,2
232,buses delayed 15 minutes due heavy traffic road road,3,4,1
233,trackless needs state walks away study trams road http,1,1,3
234,previously known buses inner west council wants trackless trams like one pictured carry commuters along road http,1,1,3
235,operation nsw walks away potential road solution http,1,1,3
236,state government walks away joint study trams sydney road http,2,2,3
237,union steps sydney university glebe replaced footbridge 1970s sydney history,2,2,4
238,road books penguins geographies modern novels trade,0,0,2
239,congratulations road team 2 awards excellence categories victory best planning ideas large project strategy,0,0,2
240,congratulations winning two road urban transformation strategy proud part team,0,0,2
241,slow traffic road approaching crystal street,4,3,1
242,catch bream flathead sydney along road part,2,2,2
243,heavy traffic road frederick street,3,3,1
244,perth road,0,0,2
245,love good cruise hassle free see congestion road great value money exciting,0,0,2
246,polo road summer hill might b bit pricey tho,0,0,2
247,proud piece wrote road weird weird glory,0,0,2
248,auburn accident road street,4,3,5
249,rush hurtling past road teasing along rooftops finally lego brick shipping containers tarmac,0,0,2
250,many podcasts along road,0,0,2
251,road hard monochrome mode,0,0,2
252,oh done time road many times,0,0,2
253,traffic road knackered heavy rain,3,4,1
254,lease road details http,1,1,3
255,smoky shack road pretty great burgers takes us hour,0,0,2
256,accident directions hume highway road,0,0,2
257,saw randomly walking along road yes guy beeping waving,0,0,2
258,bucketing sydney let battle road begin,2,2,2
259,accident directions road bold street street,4,3,5
260,north heavy traffic road,3,4,1
261,farce so-called fails 2 mention http,1,1,4
262,concord heavy traffic road park,3,4,1
263,breakdown road bold,0,0,2
264,breakdown westbound road great north road,0,0,2
265,kind 4 sydney even mention http,2,2,4
266,know mean cant play street hockey road,4,3,5
267,buses travelling delayed 20 minutes due heavy traffic road streets,3,4,1
268,traffic road time embattled real estate agents,3,4,1
269,happened road corridor reduce traffic ca urban renewal lr road,3,4,1
270,took 90 mins go probably less road,0,0,2
271,cheer least battling friday night traffic road week week,3,4,1
272,2 lanes way road fails shops business,0,0,2
273,3 lanes admission city transport plan failure,0,0,4
274,scrap multilane roads,0,0,4
275,one lane direction enough really need,0,0,4
276,unattractive,0,0,4
277,night road works scheduled road oct info http,1,1,3
278,continue new road good consistent access park,0,0,2
279,always wanted drive one things road giggle,0,0,2
280,traffic road surveillance right-wing activists,3,4,1
281,official road get new apartments draft report shows population,0,0,2
282,crime spree hits glebe park pursuit along road,0,0,2
283,heavy traffic road road street,3,4,1
284,artworks stock art fusion studio gallery,0,0,4
285,31 road nsw,0,0,2
286,road insanely jammed ever tolls introduced commute road turned slog,0,0,2
287,sunset road sunset sydney sydney road,2,2,2
288,every time child dies another bridal store opens along road,0,0,2
289,came road heavy traffic avoiding toll quiet,3,4,1
290,corruption,0,0,4
291,campaign made toxic public believe love western sydney hate tolls,2,2,4
292,university sydney road nsw australia http 4,2,2,3
293,introduced toll turning road permanent,0,0,2
294,bat alert ran across side road shot,0,0,2
295,drive wake grandparents took road oh go,0,0,2
296,takes 5 hours walk distance though road existed back probably quite,0,0,2
297,breakdown westbound road john,0,0,2
