,tweet,Python_cosine,python_euclidean,matlab
1212,road charming freshness agreeable shade always prevail continuous bower,0,0,2
1213,nsw road street,4,3,5
1214,lanes westbound 1 bus lane lanes closed,0,0,4
1215,bus breakdown http,1,1,4
1216,buses travelling returning time earlier delays due heavy traffic road road,3,4,1
1217,breakdown truck,0,0,4
1218,started today,0,0,4
1219,last updated today http,1,1,4
1220,drive coffee road bless soul,0,0,2
1221,north blocked broken vehicle western motorway approaching road,0,0,2
1222,road completely cooked,0,0,2
1223,suburb,0,0,4
1224,location road approaching motorway,0,0,2
1225,lanes westbound 1 lane 2 3 lanes http,1,1,4
1226,driving along road hour passed lots clowns golden arches,0,0,2
1227,auburn accident northbound saint road road,0,0,2
1228,accident eastbound road,0,0,2
1229,revitalisation,0,0,4
1230,little fictions presents humans road http,1,1,3
1231,tickets tonight little fictions humans road selling fast going http,1,1,3
1232,nick make australia great signs road fuck distended monkey rectum,0,0,2
1233,events humans road http sydney,2,2,3
1234,charcoal delights carcinogens road,0,0,2
1235,feeling spot belle crossing road,0,0,2
1236,pop-up baby burgers food truck near gilbert toyota road,0,0,2
1237,thank continuous support visit road http,1,1,3
1238,crazy truck driver road illegal right turn went red lights speeding luckily nobody killed,0,0,2
1239,traffic road subject changed traffic conditions suspected persons interest,3,4,1
1240,road disgusting,0,0,2
1241,traffic road postponed vacuous police detectives,3,4,1
1242,hope sake leaving cursed side road,0,0,2
1243,ideally set boutique complex six tightly held villas road much http,1,1,3
1244,seeing balloons road near glebe today mean clowns coming,0,0,2
1245,thursday 27 october footbridge theatre road university sydney,2,2,2
1246,international law failed palestine prof john conversation w http,1,1,4
1247,sydney road getting shiny new pub well http,2,2,3
1248,man hospital following crowbar attack road http,1,1,3
1249,glebe accident road broadway,0,0,2
1250,accident road arlington street,4,3,5
1251,merging takes jeep busy road concord http,1,1,3
1252,traffic road time racist breakfast radio announcers,3,4,1
1253,entry blocked new entry fee meters away,0,0,4
1254,every thursday refunds two bands play bald faced stag front bar scenic road http,1,1,3
1255,accident frederick street road,4,3,5
1256,outright lies give drivers traffic alternative road see one use,3,4,1
1257,closed road street looks like clearing bad accident,4,3,5
1258,golden sunset sydney,2,2,4
1259,breakdown outbound road road road,0,0,2
1260,skinny building sydney,2,2,4
1261,get breathalysed pretty much every morning en route road option,0,0,2
1262,experienced peak hour canberra traffic civic flashbacks road sydney,2,2,1
1263,got ta tell secret every single time road city terrible every time,0,0,2
1264,heavy traffic westbound road road western motorway,3,4,1
1265,interesting road scenic route,0,0,2
1266,given mother cared enough push road young girl,0,0,2
1267,man shameless comments reported holes road wont cower isis backbench,0,0,2
1268,already congested stretch road lose lane next 2 years due http,1,1,3
1269,dole queue banked miles along road avoid area,0,0,2
1270,road never fails disappoint oh deaf troll drive still,0,0,2
1271,road series traffic changes begin tonight http,1,1,3
1272,finally reason cross road,0,0,2
1273,wandering starving road finding nowhere open buying 5 pie infuriates,0,0,2
1274,oh road bus idea oh stilettos know,0,0,2
1275,nearly pushed girls road,0,0,2
1276,buses delayed 15 minutes five dock due heavy traffic road,3,4,1
1277,beauty road,0,0,2
1278,motorists set longer crawl along road due build http,1,1,3
1279,traffic congestion road tipped get worse gets better,3,4,1
1280,major traffic changes road explain every commuter needs know,3,4,1
1281,big squeeze motorists set longer crawl along sydney road due build http,2,2,3
1282,route delayed 20 minutes due emergency road street auburn,4,3,5
1283,wires eastbound road melbourne,0,0,2
1284,slow traffic westbound road lucas,3,4,1
1285,broken truck westbound road near brown street,4,3,5
1286,model,0,0,4
1287,check fantastic deals showroom,0,0,4
1288,traffic road delayed vacuous financial advisers,3,4,1
1289,saturday night,0,0,4
1290,candys takeover,0,0,4
1291,night missed,0,0,4
1292,absolutely perfect size little convenient bottle store around corner road,0,0,2
1293,psa 6 pack dry road vintage cellars,0,0,2
1294,swear road always full taxis except one time want catch one,0,0,2
1295,pomegranate turkish delight made road,0,0,2
1296,road many gyms need bridal shops get taken gyms,0,0,2
1297,broken truck westbound road dover,0,0,2
1298,blocked broken vehicle westbound road approaching,0,0,2
1299,major changes road store construction ramps http,1,1,3
1300,warning road drivers major disruption next week reports,0,0,2
1301,prepared traffic changes road mon 5 sept allow extra travel time,3,4,1
1302,bye bye hello road exact http,1,1,3
1303,surrounds fatality http,1,1,4
1304,traffic road postponed suspected sick,3,4,1
1305,pregnant pedestrian killed road http,1,1,3
1306,woman died hit car road,0,0,2
1307,every time get cold rate congested nose scale 0 road,0,0,2
1308,another five star review,0,0,4
1309,location clyde road,0,0,2
1310,time 30 aug 1000,0,0,4
1311,info hazard stationary vehicle,0,0,4
1312,sandstone sydney university,2,2,4
1313,ivy overgrown,0,0,4
1314,traffic road buggered right-wing real estate agents,3,4,1
1315,hard believe place road veggie garden actually twice,0,0,2
1316,skate shop road logo weed leaf made skateboards know blasting sticky fingers 24/7,0,0,2
1317,walking des road http,1,1,3
1318,trying say road,0,0,2
1319,yes lucy road continue turn right glebe heard abc http,1,1,3
1320,blocked broken vehicle road west street,4,3,5
1321,accident road church street street,4,3,5
1322,nsw premier office space road walking distance italian forum amp http,1,1,3
1323,update westbound lanes road open ross street flooding,4,3,5
1324,australias 1st highway historic thriving http,1,1,4
1325,road new jobs open spaces amenities housing targets drop,0,0,2
1326,happy christening isabella,0,0,4
1327,shop 2 road,0,0,2
1328,info,0,0,4
1329,fuck know staying road,0,0,2
1330,road becomes friendlier safer cyclists pedestrians buses,0,0,2
1331,primarily taking trucks road amount passenger rail improvement massive motorway,0,0,2
1332,road 26 yrs later working 24/7 halve traffic congested corridor,3,4,1
1333,traffic road cancelled nrl players,3,4,1
1334,road nightmare sydney,2,2,2
1335,challenge road political provide human space accused tunnel funnelling,0,0,2
1336,road completely freaky,0,0,2
1337,condemned summer hill new south wales,0,0,4
1338,buses returning time earlier delays due heavy traffic road road,3,4,1
1339,blue sky new south wales australia,0,0,4
1340,ask ran across road make bus almost got run wow,0,0,2
1341,great vision olympics gym busier road sydney peak hour,2,2,2
1342,olympic gym,0,0,4
1343,building housing children length diesel plus noise,0,0,4
1344,help us ban diesel uk stop http green evs,1,1,4
1345,many wedding dress shops road dot dot au,0,0,2
1346,night works tonight sunday road harris road info http,1,1,3
1347,road west corner johnston street know axe murderer,4,3,5
1348,breakdown eastbound road underwood road,0,0,2
1349,worry double standards exist nrl rename road 2 boulevard,0,0,2
1350,accident road road salisbury road,0,0,2
1351,accident crystal street south road,4,3,5
1352,welcome road polices u improve part,0,0,2
1353,hi scott fixing water road,0,0,2
1354,night works tonight road info http,1,1,3
1355,hi yes water turned fixing water footpath around road,0,0,2
1356,tolls road christopher making connections,0,0,2
1357,fixing water road temporarily stopped water service visit http updates,1,1,3
1358,sold road,0,0,2
1359,great creative day saturday publishing 75 road underwood free http,1,1,3
1360,council concrete restoration night works scheduled road road fri 29 july info http,1,1,3
1361,new design little dream couture,0,0,4
1362,little veronica gown store,0,0,4
1363,truck crash sends cars flying air road http,1,1,3
1364,former albert dance hall opened,0,0,4
1365,saturday day long walking enjoyable good times broadway road,0,0,2
1366,buses using road returning time earlier delays due heavy traffic,3,4,1
1367,buses back time delays due heavy traffic raw square leicester street approaching road,3,4,1
1368,buses using road delayed 15 minutes due heavy traffic,3,4,1
1369,buses delayed 10 minutes due heavy traffic raw square leicester street approaching road,3,4,1
1370,hustle bustle road cars buses,0,0,2
1371,think traffic saturday road,3,4,1
1372,traffic road bad able change fuse pulling,3,4,1
1373,road use work,0,0,2
1374,tripped middle road officially time kill,0,0,2
1375,ada lane access road,0,0,2
1376,road la books penguins westerns modern novels http,1,1,3
1377,juvenile detention,0,0,4
1378,studio corner tomorrow evening road nsw sydney http,2,2,3
1379,public signing session store opening tomorrow,0,0,4
1380,85 road underwood,0,0,2
1381,phone chooses tool saturday afternoon apocalypse road,0,0,2
1382,statement sydney markets limited regarding sale 3 9 avenue road site http,2,2,3
1383,road smells like actual shit today,0,0,2
1384,summer hill blocked broken vehicle road dover street,4,3,5
1385,burn deepest pits hell road,0,0,2
1386,god damn sydney traffic,2,2,4
1387,heavy traffic eastbound road,3,4,1
1388,passionate rugby league fan,0,0,4
1389,behind road,0,0,2
1390,20 go stretch lead looks like white ribbon cup heading back road,0,0,2
1391,travelling along road great see progress procrastination infrastructure government,0,0,2
1392,traffic lights flashing yellow road johnston street,4,3,1
1393,like location public transport little tram long walk central town hall stations road,0,0,2
1394,think found pauline murdered shopping trolley road,0,0,2
1395,road parkes street open following late finishing traffic normal area,4,3,1
1396,road parkes street late finishing closed directions avoid area,4,3,5
1397,grand opening friday road x,0,0,2
1398,road irons documents preserves australia first highway stretch perpetually http,1,1,3
1399,bus stop road david oil canvas height width available,0,0,2
1400,launching friday road,0,0,2
1401,along road,0,0,2
1402,still think sydney perfect place 1000 turbine wind farm low transmission costs beautiful aesthetics,2,2,4
1403,saw 20 online election coverage overnight road effect,0,0,2
1404,stalled bus eastbound road,0,0,2
1405,accident westbound road crystal,0,0,2
1406,e r l b r road,0,0,2
1407,tomorrow road monday housing estate building complex hills day,0,0,2
1408,debris road north western motorway,0,0,2
1409,another night aerial time looking road city road near http,1,1,3
1410,lease road space great location,0,0,2
1411,eastbound lanes open road hill breakdown,0,0,2
1412,car broken road hill affecting eastbound traffic moderate delays,3,4,1
1413,7 news 9 vehicle pileup road caused traffic chaos http,1,1,3
1414,one woman trapped ploughs nine vehicles road,0,0,2
1415,remember crossbench axed truck crash sends cars air road http,1,1,3
1416,truck crash sends cars air road http news brisbane,1,1,3
1417,take care,0,0,4
1418,surrounds http,1,1,4
1419,damage caused huge road one hurt,0,0,2
1420,truck crash sends cars air road road closed http,1,1,3
1421,buses delayed 35 minutes road vehicle accident avenue returned route,0,0,1
1422,two three westbound lanes road reopened crash near avenue,0,0,2
1423,update woman freed road crash six cars three trucks hit westbound,0,0,2
1424,road closed westbound crash involving number cars,0,0,2
1425,westbound lanes road closed near due accident involving truck http,4,3,3
1426,road bit nightmare right truck ploughed 4 cars traffic,3,4,1
1427,least one woman trapped truck ploughed four cars road http,1,1,3
1428,attention avoid heading west road multiple car pile police scene,0,0,2
1429,one woman trapped crashed four cars westbound lane police say,0,0,4
1430,avoid heading huge several car accident,0,0,4
1431,like wow probably road bus ever stop fucking footbridge theatre,0,0,2
1432,bewitch fabrics window display presents winter blossom,0,0,4
1433,visit us,0,0,4
1434,manage moving west maybe nw problem going anywhere south road work north,0,0,2
1435,library siesta cool band beautiful ode road feat brother kebabs,0,0,2
1436,three ambulances full sirens speed east bound road,0,0,2
1437,road gives shits,0,0,2
1438,gave car estimate get ready sue result road traffic nirvana,3,4,1
1439,many get road fully choked save mins cost 10,0,0,2
1440,increase traffic road pr staff breaching,3,4,1
1441,working give motorists alternative taking vehicles busy,0,0,4
1442,park across bridge goes road,0,0,2
1443,traveling road friday evening work one peek http,1,1,3
1444,better shame refugee traffic chaos road http,1,1,3
1445,road irons http,1,1,3
1446,literally taken 1000 years get road make home time,0,0,2
1447,appeal information following road rage incident road,0,0,2
1448,man treated shock road rage incident road car smashed group men,0,0,2
1449,totally chuffed c served inspiration latest clip road thanks,0,0,2
1450,cool love put test tomorrow morning catch busses road crowding huge problem,0,0,2
1451,walking road,0,0,2
1452,yeah right road changed 30 years,0,0,2
1453,major sigh building along road mistake,0,0,2
1454,http sigh,1,1,4
1455,secrets roads mysterious milk bar revealed 56 years milkshakes http,1,1,4
1456,driver customer service road sydney australia climb recruitment retail jobs http,2,2,3
1457,sydney fire holds road news http,2,2,3
1458,update traffic returning normal road following earlier car motorcycle accident,3,4,1
1459,two three lanes closed road due car motorcycle accident delays expected,4,3,5
1460,beginning tire intersection trucks narrowness road west,0,0,2
1461,snapped compelling bit advertising moving car road blessings,0,0,2
1462,walked maybe along road beeped catcalled three times,0,0,2
1463,regulate tax problem solved,0,0,4
1464,seen road nsw,0,0,2
1465,breakdown eastbound road crystal,0,0,2
1466,1 3 westbound lanes remains blocked road following fire traffic heavy exercise caution,3,4,1
1467,live wire became entangled traffic light road leading heavy traffic,3,4,1
1468,sydney fire holds road traffic heavy directions sydney road http,2,2,3
1469,yes bring one sydney australia,2,2,4
1470,german group dreamt worlds first vertical takeoff landing electric jet http,1,1,4
1471,way kick long weekend,0,0,4
1472,road sold incredible,0,0,2
1473,uncovered http thanks really bad,1,1,4
1474,building road right 90s flashbacks looking sign,0,0,2
1475,fast food inner west road squeezing local businesses,0,0,2
1476,liked video http sydney road,2,2,3
1477,sale level 4 5 road details http,1,1,3
1478,anthony cross road sometime,0,0,2
1479,found dog five dock sydney region,2,2,4
1480,friendly black labrador found road near http,1,1,3
1481,bloody shark road,0,0,2
1482,see shark swimming road today,0,0,2
1483,lower south shore south road,0,0,2
1484,drive road stadium wow unbelievable,0,0,2
1485,live inner west strip land road river also known upper south shore,0,0,2
1486,closed due flooding drivers advised use road allow extra time travel,0,0,2
1487,authorities closing road due severe weather,0,0,2
1488,road dead already lots cars sitting dead flooded dips little bit rainy meanwhile blasting bike,0,0,2
1489,road lovely yachts sailed,0,0,2
1490,thankfully close road always traffic,3,4,1
1491,road nsw lease,0,0,2
1492,exit central railway square exit catch bus road get 3rd stop come library,0,0,2
1493,spill westbound road good street,4,3,5
1494,future road,0,0,2
1495,images procession road,0,0,2
1496,road literally flooded crazy,0,0,2
1497,accident westbound road concord road,0,0,2
1498,traffic road rooted disgraced former activists,3,4,1
1499,road exhibition tribute life sydney thoroughfare http,2,2,3
1500,traffic road outrageously expensive barristers,3,4,1
1501,goodbye http,1,1,4
1502,road traffic increase study shows http,1,1,3
1503,congestion sydney costs 5 billion year action costs rise,2,2,4
1504,http amazing zipping around sydney looking innovation creativity,2,2,4
1505,traffic road cancelled bespoke local council members,3,4,1
1506,update lanes near road concord open following earlier car accident oil spill,0,0,2
1507,two three lanes closed approaching road concord due car accident oil spill,4,3,5
1508,hate road,0,0,2
1509,broken truck southbound james ruse drive road,0,0,2
1510,north accident road george street,4,3,5
1511,photograph road,0,0,2
1512,many people photo shoots show road today edgy hip groovy,0,0,2
1513,nothing romantic walking road travel pie one hand chocolate milk,0,0,2
1514,road dump,0,0,2
1515,2 days warehouse clearance event road auburn,0,0,2
1516,missing road,0,0,2
1517,irons road http,1,1,3
1518,routes longer delayed road five dock heavy traffic eased,3,4,1
1519,cunt road,0,0,2
1520,city bound traffic westbound horrendous also allows road,3,4,1
1521,great getting inside view artists studio great art,0,0,4
1522,buses road broadway delayed 15 minutes due heavy traffic,3,4,1
1523,knew gorgeous little place living busy old road,0,0,2
1524,best seen stretch road look,0,0,2
1525,eastbound worse westbound,0,0,4
1526,gutters road running tears every kid getting let black wire friday,0,0,2
1527,buses returning time earlier delays road due heavy traffic,3,4,1
1528,great use metaphor road sucks,0,0,2
1529,place road really knows target market slogan 24 happy hours day,0,0,2
1530,roaming road retro soft film film rangefinder,0,0,2
1531,auburn blocked broken vehicle northbound saint road road,0,0,2
1532,road always delight,0,0,2
1533,true pleb went another way road worst almost took hour get home,0,0,2
1534,road closed directions due car fire emergency services scene near alfred street,4,3,5
1535,road near blocked directions car fire,0,0,2
1536,opening tonight irons road project space http,1,1,3
1537,fence ploy fails derail road property sale http,1,1,3
1538,nothing like driving road day night,0,0,2
1539,percussion car hatchbacks slamming leaf blowers suv rear-ends corolla road,0,0,2
1540,suns talented rental manager irons opening exhibition road tomorrow night http,1,1,3
1541,tomorrow night exhibition road,0,0,2
1542,link,0,0,4
1543,image credit,0,0,4
1544,road corridor consultation report shows people want less traffic better public transport http,1,1,3
1545,accident road today around 8,0,0,2
1546,traffic congestion road west street,4,3,1
1547,road traffic,3,4,1
1548,one lane closed road glebe front broadway shopping centre due accident,0,0,2
1549,opening friday road,0,0,2
1550,exhibition,0,0,4
1551,website,0,0,4
1552,fucking hideous little creep got elected hatred boats never arrived,0,0,4
1553,trams road mean longer need car though,0,0,2
1554,recently extended road clearways saturdays still heavily congested though,0,0,2
1555,road looking quite beautiful captured,0,0,2
1556,spectacle road sunset sky weather photo sydney australia,2,2,2
1557,blocked broken vehicle southbound centenary drive road,0,0,2
1558,accident westbound road street,4,3,5
1559,better model put toll road tunnel toll-free,0,0,2
1560,yes ill tunnel underneath road instead traffic surface,3,4,1
1561,garden lodge road http,1,1,3
1562,garden lodge,0,0,4
1563,smoke pollution high sydney ca see city along haze,2,2,4
1564,pan chats irons photography work upcoming solo exhibition road http,1,1,3
1565,road shitty well road shows cars narrow lanes,0,0,2
1566,accident westbound road east luke avenue,0,0,2
1567,weird pictures show weird wacky sights road daily mail http random,1,1,3
1568,pictures show weird wacky sights road daily mail http,1,1,3
1569,pictures show weird wacky sights road sydney ugliest highway preserved http,2,2,3
1570,road come know http,1,1,3
1571,pictures show weird wacky sights road photographer irons brought life pa http,1,1,3
1572,pictures show weird wacky sights road photographer irons,0,0,2
1573,blind corner road time yeah real sensible many people nearly crashed nothing safety,0,0,2
1574,bewitch fabrics couture fabric creations,0,0,4
1575,grab stocks lasts,0,0,4
1576,someone lives road sticking tunnel turning local road seems good,0,0,2
1577,road peak hour death,0,0,2
1578,popped records,0,0,4
1579,photography exhibition reveals secrets road http,1,1,3
1580,way road grab bargains,0,0,2
1581,belongs road flogging used cars,0,0,2
1582,home time monday done dusted road,0,0,2
1583,road air sell well,0,0,2
1584,driving road time makes want commit crime,0,0,2
1585,light rail along road strike great idea considering bad traffic gets already,3,4,1
1586,join next weekend along,0,0,4
1587,got held bad traffic road,3,4,1
1588,toll mike blair disaster road,0,0,2
1589,buses going road tonight,0,0,2
1590,photography exhibition reveals secrets road http sydney news,2,2,3
1591,thanks going fun meeting sauntering along,0,0,4
1592,traffic lanes road reopened car bike accident near harris road,3,0,1
1593,williams showed 9 councils occupy road,0,0,2
1594,tunnel provide alternative route road sydney version sydney road,2,2,2
1595,take great delight number brothels nestled many wedding dress shops road,0,0,2
1596,adjacent rat run road already capacity,0,0,2
1597,blocked broken vehicle inbound road road,0,0,2
1598,intersection road road,0,0,2
1599,imaging started plant trees along road victoria road,0,0,2
1600,planting tree reconciliation remembrance peace,0,0,4
1601,bad pothole round cover westbound closer,0,0,4
1602,sorry see made map road future reference,0,0,2
1603,think mosquito bedroom actually illegal road fine,0,0,2
1604,two hours two road hours travel 40 westbound tonight ever take twice time get home,0,0,2
1605,finally waiting 25 mins road,0,0,2
1606,nice u know road,0,0,2
1607,clutch love road,0,0,2
1608,hate road oh god,0,0,2
1609,broken truck eastbound road james ruse drive,0,0,2
1610,new fit distraction googled bead shop road drug front,0,0,2
1611,apparently look though,0,0,4
1612,u step human shit road,0,0,2
1613,two n course road,0,0,2
1614,bridges major nightmare road,0,0,2
1615,ridiculous sell bout fixing road http,1,1,3
1616,man treated hospital assaulted business road,0,0,2
1617,stopped right lane road near sunday afternoon bad time,0,0,2
1618,like going inner west side road voting greens next,0,0,2
1619,fig trees road sneaks liars,0,0,2
1620,trees residents angered trees cut road http,1,1,3
1621,bulldozed fig trees corner road mons street photo luke sydney http,2,2,3
1622,residents angered trees cut road expansion motorway http,1,1,3
1623,residents angered trees cut road expansion motorway alexander http,1,1,3
1624,obviously road pennant hills pacific highway waterloo,0,0,2
1625,west accident road,0,0,2
1626,buses using road returning time delays due heavy traffic glebe earlier,3,4,1
1627,road locked,0,0,2
1628,buses delayed 20 minutes road due heavy traffic,3,4,1
1629,sydney chasing chihuahua road saturday http,2,2,3
1630,buses returned timetable road heavy traffic earlier,3,4,1
1631,road yay,0,0,2
1632,big old fig butchered another tree road five dock think trees,0,0,2
1633,mm better way start sunday morning walking road buying pouch petrol station 8,0,0,2
1634,thanks update closed road,0,0,2
1635,year old lady front adult store road,0,0,2
1636,miss bible study,0,0,4
1637,6 7 april,0,0,4
1638,new south wales australia http,1,1,4
1639,go sell used cars somewhere road may convince someone buying one fed,0,0,2
1640,west accident northbound centenary drive south road,0,0,2
1641,update three car accident road cleared traffic easing,3,4,1
1642,accident road eastbound traffic heavy,3,4,1
1643,traffic road stuffed embattled,3,4,1
1644,fed ex truck traffic road road 3d,3,4,1
1645,fed ex truck traffic road,3,4,1
1646,road broadway,0,0,2
1647,sure laziest black ants ever seen maybe due carbon road,0,0,2
1648,walking tracks like road pennant hills road,0,0,2
1649,reports woman early 30s struck fire truck near road west,0,0,2
1650,leave house pick car 8 spend covering road good job sydney,2,2,2
1651,accident road put mint bridge road glebe small car big truck,0,0,2
1652,catch road right light turns polish turd,0,0,2
1653,someone blow road buses,0,0,2
1654,glebe pt road buses empty,0,0,2
1655,road buses capacity,0,0,2
1656,get together sydney,2,2,4
1657,road sucks,0,0,2
1658,traffic road surveillance racist local council members,3,4,1
1659,see inbound kingston road near road due run 7 minutes late today sent,0,0,2
1660,accident road rogers,0,0,2
1661,route longer delayed road near road heavy traffic eased,3,4,1
1662,road outside restaurant,0,0,2
1663,joy road evening,0,0,2
1664,one three eastbound lanes closed road road three car accident,0,0,2
1665,girls playing tonight,0,0,4
1666,bald faced stag road,0,0,2
1667,3 http,1,1,4
1668,saw dude walking road cup hat nearly fainted excitement,0,0,2
1669,road less fury road,0,0,2
1670,bus home road flowing like clogged,0,0,2
1671,fruit hampers road nsw australia markets,0,0,2
1672,one hour travel 21 ks sydney saturday thank road,2,2,2
1673,take train walk park walk road take bus straight park,0,0,2
1674,catch alumna beth hills quirky debut novella nostalgic celebration road milk bar http,1,1,3
1675,council study investigate road light rail government failure examine public transport option http,1,1,3
1676,auburn eastbound western motorway road road,0,0,2
1677,blocked broken vehicle inbound road ross street,4,3,5
1678,punt melbourne road,0,0,2
1679,buses longer delayed heavy traffic road road,3,4,1
1680,blocked broken vehicle eastbound road west james ruse drive,0,0,2
1681,morning northbound traffic banked past city west link road,3,4,1
1682,still busier road exactly backwater,0,0,2
1683,developers snap road sites ahead upgrade,0,0,2
1684,developers honing residential development http,1,1,4
1685,new road project sees developers honing opportunities read http,1,1,3
1686,nsw truck fire road road street,4,3,5
1687,developers snap road site ahead upgrade property http,1,1,3
1688,someone lit fucking gym fire road,0,0,2
1689,big development along road good news developers,0,0,2
1690,road renewal sparks developer demand lots http,1,1,3
1691,road corridor become honey pot developers http sydney property,2,2,3
1692,man bringing tolls back dog going clogging road,0,0,2
1693,road renewal sparks developer demand http,1,1,3
1694,road renewal sparks developer demand lots,0,0,2
1695,update lanes reopened road five dock car overturned earlier traffic busy area,3,4,1
1696,two three lanes closed road five dock due overturned car,0,0,2
1697,accident eastbound road harris,0,0,2
1698,see stadium road lot widening construction,0,0,2
1699,road take traffic future less page 11 traffic modelling http,3,4,1
1700,link tunnel connection road http,1,1,3
1701,summer hill accident eastbound road liverpool road,0,0,2
1702,sort looked like road ross crescent city west link,0,0,2
1703,go map clear road tunnel,0,0,2
1704,cheers ended road somehow,0,0,2
1705,road starts mean stadium,0,0,2
1706,get central catch bus road,0,0,2
1707,west broken truck eastbound road centenary,0,0,2
1708,buses travelling road broadway chippendale delayed 20 mins due heavy traffic,3,4,1
1709,slow traffic westbound road james ruse,3,4,1
1710,sydney creepy milk bar road http,2,2,3
1711,come see us,0,0,4
1712,worlds first http,1,1,4
1713,reckon wastelands arterial roads theres lot shitty road,0,0,2
1714,idea sitting 40 minute traffic jam road stretching back,3,4,1
1715,concord broken truck road,0,0,2
1716,near glebe gives,0,0,4
1717,oh goes ambulance,0,0,4
1718,constantly traffic loud,3,4,4
1719,seconds later bedroom balcony overlooks road idiot,0,0,2
1720,working history road based articles sydney illustrated news,2,2,2
1721,sydney university pushes light rail line along road http,2,2,3
1722,road rescue safe one appliance district 14 http amp amp amp,1,1,3
1723,road rescue going district 14 rescue http amp amp amp,1,1,3
1724,must sitting road dead end needs completing,0,0,2
1725,one thing common,0,0,4
1726,sydney road signage night road,2,2,2
1727,happy open road saddest brothel,0,0,2
1728,good shit road near auburn check,0,0,2
1729,buses delayed 20 minutes due heavy traffic raw square leicester street road,3,4,1
1730,fewer lanes motorists road public transport http sydney transport,2,2,3
1731,accident westbound road cardigan street,4,3,5
1732,name jangly song mentions road one line head,0,0,2
1733,buses longer delayed summer hill earlier heavy traffic liverpool road road,3,4,1
1734,major delays road,0,0,2
1735,next 7 news cameras road used car yards raided accused winding back odometers,0,0,2
1736,sydney car dealerships raided nsw police uncovering odometer tampering used cars http,2,2,4
1737,raid started dream car city road trading suspended accused winding back used car odometers,0,0,2
1738,accident eastbound road crystal,0,0,2
1739,happy v day bouquet enjoy valentines road,0,0,2
1740,service late arriving corner road bus,0,0,2
1741,walk road id hit quicker baghdad less traffic better roads lame city,3,4,1
1742,grandparents leased house road site part car yard,0,0,2
1743,west accident westbound road bay,0,0,2
1744,tunnel built road costing tax payers billion,0,0,2
1745,drivers losers road http,1,1,3
1746,state government announce plans build billion tunnel road http,1,1,3
1747,fewer lanes motorists road public transport http news brisbane,1,1,3
1748,drivers losers road http news,1,1,3
1749,fewer lanes motorists road public transport http,1,1,3
1750,forest lodge fallen tree eastbound road ross,0,0,2
1751,campus entry road le earth,0,0,2
1752,eastbound road newton,0,0,2
1753,road river commuters use river enjoying alt trip sydney ferry,2,2,2
1754,reception wedding dress shop road sydney black desk counter kitchens,2,2,2
1755,mt open studio trail amp,0,0,4
1756,accident road near bridge road,0,0,2
1757,dude side feel like almost road,0,0,2
1758,route delayed 10 minutes summer hill due heavy traffic liverpool road approaching road,3,4,1
1759,buses returning timetable heavy traffic raw square leicester street road,3,4,1
1760,lease 72 road details http,1,1,3
1761,fun car game young woman driving solo road count many men see window open proceed,0,0,2
1762,traffic lights working road good street,4,3,1
1763,open studio trail,0,0,4
1764,saturday 5 sunday 6 march,0,0,4
1765,trouble finance understatement road,0,0,2
1766,stalled vehicle westbound road railway,0,0,2
1767,better tram crawling along road,0,0,2
1768,back ever seen venue outside road never though,0,0,2
1769,show 15 minutes city road across road bald faced stag,0,0,2
1770,yes road oh dear fun,0,0,2
1771,glebe accident westbound road glebe point road,0,0,2
1772,public inquiries nsw council mergers kick http,1,1,4
1773,blocked broken vehicle eastbound road hawthorne parade,0,0,2
1774,beads shop road,0,0,2
1775,road new jobs open spaces amenities housing http,1,1,3
1776,pedestrian critical hit car road http,1,1,3
1777,sydney pedestrian hit car truck road http,2,2,3
1778,route buses returning time delays due truck pedestrian accident road,4,3,5
1779,update diversion road lifted following earlier accident,0,0,2
1780,stalled vehicle eastbound road concord,0,0,2
1781,road closed pedestrian struck http,1,1,3
1782,sydney pedestrian car truck road http,2,2,3
1783,road closed pedestrian struck sydney morning herald rss news headlines http,2,2,3
1784,auburn accident road street south,4,3,5
1785,man fighting life hit car road taken hospital w head neck injuries,0,0,2
1786,road closed pedestrian struck http sydney news,2,2,3
1787,update traffic road standstill peak hour accident involving truck pedestrian http,1,1,3
1788,reminded hellish peak hour traffic road morning never,3,4,1
1789,concord oval cardiff arms park road,0,0,2
1790,update motorists diverted westbound lane right turn lane road also closed,0,0,2
1791,update lanes closed road due accident involving truck pedestrian street,4,3,5
1792,route buses delayed 15 minutes due truck pedestrian accident road street,4,3,5
1793,breaking lanes road closed heading city avoid road costs,0,0,2
1794,buses delayed 15 minutes summer hill due heavy traffic liverpool road approaching road,3,4,1
1795,car motorcycle collided accident street road delays expected,4,3,5
1796,buses delayed 10 minutes due heavy traffic raw square leicester avenue approaching road,3,4,1
1797,forest lodge spill road ross,0,0,2
1798,accident northbound road road clear,0,0,2
1799,north stalled vehicle eastbound western motorway approaching road,0,0,2
1800,flash flooding affecting motorists road causing delays pic,0,0,2
1801,currently driving back streets try avoid road series trenches cars trapped,0,0,2
1802,old,0,0,4
1803,comes sydney nsw,2,2,4
1804,genuine electrified road light rail,0,0,2
1805,pushing light rail line along road http,1,1,3
1806,pushes line along road,0,0,2
1807,accident westbound road,0,0,2
1808,actually busses send bus road great bus load people sidewalk agree,0,0,2
1809,ca actually remember one road went spreadsheet tho,0,0,2
